id,value,context_factor_id,context_factor_value_id,thing_id,user_id,created_at,updated_at,id,title,description,type,image,indoorsLocation,display_title,active,id,title,display_title,active_in_training,active_in_prediction,id,title,display_title,description,context_factor_id,active_in_training,active_in_prediction
2091,-1,1,1,15,e09bad029ab347d0a0aa591f1e0d4728,"2019-10-15 16:26:00.687000","2019-10-15 16:26:00.687000",15,laundromat,"Public self-service laundry.",BCN_I,laundromat.jpg,1,Laundromat,1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2139,-1,1,1,13,e09bad029ab347d0a0aa591f1e0d4728,"2019-10-15 16:33:45.007000","2019-10-15 16:33:45.007000",13,"photo booth",,BCN_I,photo-booth.jpg,1,"Photo Booth",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2158,-1,1,1,10,39e583470a9645d8bd32a4ad6963835b,"2019-10-15 18:13:56.885000","2019-10-15 18:13:56.885000",10,"vending machine with food",,BCN_I,vending-machine-with-food.jpg,1,"Vending Machine with Food",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2176,1,1,1,14,39e583470a9645d8bd32a4ad6963835b,"2019-10-15 18:15:18.731000","2019-10-15 18:15:18.731000",14,"coffee machine",,BCN_I,coffee-machine.jpg,1,"Coffee Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2198,1,1,1,20,7499357b35774b3aba7c99e582b8135d,"2019-10-15 18:17:09.057000","2019-10-15 18:17:09.057000",20,"airport check-in kiosk",,BCN_I,airport-checkin-kiosk.jpg,1,"Airport Check-In Kiosk",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2216,-1,1,1,59,7499357b35774b3aba7c99e582b8135d,"2019-10-15 18:18:33.751000","2019-10-15 18:18:33.751000",59,"public wifi access point",,BCN_I,public-wifi.jpg,1,"Public WiFi Access Point",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2255,0,1,1,10,7499357b35774b3aba7c99e582b8135d,"2019-10-15 18:22:14.387000","2019-10-15 18:22:14.387000",10,"vending machine with food",,BCN_I,vending-machine-with-food.jpg,1,"Vending Machine with Food",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2325,1,1,1,44,56588921a12346df9961a8b9fe3afb89,"2019-10-15 18:39:26.654000","2019-10-15 18:39:26.654000",44,"book vending machine",,BCN_I,book-vending-machine.jpg,1,"Book Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2354,0,1,1,1,56588921a12346df9961a8b9fe3afb89,"2019-10-15 18:43:08.295000","2019-10-15 18:43:08.295000",1,"public transport ticket machine",,BCN_I,public-transport-ticket-machine.jpg,1,"Public Transport Ticket Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2399,-1,1,1,17,56588921a12346df9961a8b9fe3afb89,"2019-10-15 18:48:17.368000","2019-10-15 18:48:17.368000",17,"electric car charger",,BCN_I,electric-car-charger.jpg,0,"Charging Station for Electric Cars",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
